AgendamentoID,DataHoraColeta,DataHoraEntrega,MotoristaID,VeiculoID,CargaID
1,2024-04-30 05:40:58.894299,2024-05-02 12:40:58.894299,6128,4757,9522
2,2023-10-24 11:20:55.901544,2023-10-26 23:20:55.901544,833,1473,9754
3,2023-12-20 06:23:11.906750,2023-12-22 05:23:11.906750,76,9927,3092
4,2023-10-25 20:22:09.784041,2023-10-28 19:22:09.784041,5680,3189,8686
5,2023-11-14 22:38:24.969170,2023-11-17 21:38:24.969170,9292,1941,6211
6,2024-04-16 03:51:25.992090,2024-04-16 22:51:25.992090,5838,5783,9221
7,2024-03-16 14:09:10.866592,2024-03-18 11:09:10.866592,5504,3071,9401
8,2024-04-01 21:39:43.293321,2024-04-03 08:39:43.293321,870,1875,191
9,2023-07-12 09:15:39.636518,2023-07-15 02:15:39.636518,3202,7610,4190
10,2024-01-15 20:55:48.603430,2024-01-18 10:55:48.603430,3642,42,9170
11,2023-09-29 13:41:25.680017,2023-10-01 10:41:25.680017,4767,3396,8846
12,2024-01-11 21:31:58.862670,2024-01-14 18:31:58.862670,2517,321,8868
13,2024-02-20 18:45:40.090801,2024-02-22 07:45:40.090801,8098,2281,5591
14,2024-04-10 00:10:07.851837,2024-04-10 11:10:07.851837,8134,9930,76
15,2023-07-10 03:59:44.080189,2023-07-10 18:59:44.080189,5063,8652,2386
16,2024-01-07 18:36:10.319922,2024-01-10 00:36:10.319922,4687,5268,3498
17,2023-12-05 14:03:56.403070,2023-12-07 09:03:56.403070,9902,5690,7263
18,2024-01-26 17:46:06.698378,2024-01-28 03:46:06.698378,9935,8349,6047
19,2024-03-08 21:12:01.446759,2024-03-09 08:12:01.446759,5426,9791,6472
20,2024-04-03 19:20:56.244938,2024-04-04 14:20:56.244938,3964,4576,6001
21,2024-06-04 19:26:47.923428,2024-06-07 19:26:47.923428,8480,6061,3775
22,2024-04-09 20:45:03.070653,2024-04-10 10:45:03.070653,3664,6470,691
23,2023-09-28 07:08:00.887342,2023-09-28 19:08:00.887342,1585,3349,4136
24,2023-12-10 03:32:07.177938,2023-12-11 10:32:07.177938,1079,1103,86
25,2024-01-15 20:11:05.216955,2024-01-18 13:11:05.216955,536,9840,5626
26,2023-10-26 01:06:47.702397,2023-10-26 06:06:47.702397,5092,3800,1036
27,2023-07-23 03:58:31.898463,2023-07-24 11:58:31.898463,5549,7422,3731
28,2023-08-28 13:14:31.597638,2023-08-30 23:14:31.597638,3256,2802,9897
29,2023-06-20 21:40:37.854806,2023-06-22 05:40:37.854806,1249,3632,1609
30,2023-12-12 11:10:47.341024,2023-12-13 23:10:47.341024,1922,7944,3304
31,2023-09-14 20:28:05.832162,2023-09-16 09:28:05.832162,2566,6603,448
32,2024-01-02 22:07:10.556620,2024-01-05 01:07:10.556620,5090,5659,5257
33,2023-07-30 09:33:19.365512,2023-08-01 06:33:19.365512,3976,7448,6559
