CargaID,TipoCarga,PesoCarga,Comprimento,Largura,Altura,DataEntregaPrevista
1,Perigoso,9446.51,12.52,2.41,3.97,2024-05-03
2,Perecível,4546.06,8.37,0.92,0.5,2024-02-16
3,Frágil,1404.37,12.76,0.88,1.72,2023-12-14
4,Frágil,5724.6,9.35,0.74,0.86,2021-10-24
5,Perecível,3970.45,1.19,0.75,3.81,2020-07-03
6,Granel,9925.06,11.16,1.45,2.17,2023-07-04
7,Granel,4254.77,10.37,2.11,3.85,2022-02-13
8,Granel,3143.74,11.04,1.47,3.44,2020-08-01
9,Líquido,4641.47,13.56,1.88,3.44,2024-11-27
10,Perecível,3249.77,2.6,1.05,0.64,2023-11-12
11,Perecível,4031.9,8.52,2.94,1.17,2020-09-15
12,Granel,5330.22,7.27,0.54,1.05,2023-01-19
13,Sólido,9711.33,4.72,1.62,0.67,2022-07-22
14,Granel,7771.82,6.37,2.85,1.4,2024-12-30
15,Perecível,3590.95,4.77,0.86,2.74,2024-12-18
16,Frágil,7449.61,5.21,2.13,3.48,2021-06-23
17,Líquido,4151.23,1.01,2.65,0.7,2025-01-06
18,Frágil,8097.4,1.86,1.49,2.28,2023-12-08
19,Frágil,2283.98,14.36,2.65,3.9,2024-11-10
20,Perecível,7346.89,13.39,0.65,2.52,2022-02-26
21,Sólido,5485.53,10.81,0.7,2.17,2021-03-17
22,Sólido,5826.67,5.27,0.98,2.87,2024-01-08
23,Líquido,9323.4,12.42,2.22,1.68,2023-09-12
24,Líquido,9820.84,10.34,2.5,1.76,2023-08-19
25,Granel,1092.72,5.58,2.99,3.54,2022-12-09
26,Perecível,7712.05,3.28,1.49,3.53,2025-04-07
27,Granel,3129.21,10.11,1.65,3.42,2021-01-14
28,Perigoso,3205.94,12.16,2.17,2.22,2023-09-01
29,Perigoso,4150.03,5.66,1.76,3.33,2020-08-14
30,Perecível,2356.43,11.22,1.57,1.02,2024-05-17
31,Sólido,4830.19,2.59,1.52,0.69,2024-06-09
32,Granel,5795.04,12.39,2.7,2.8,2020-06-25
33,Perigoso,4867.98,4.56,2.03,2.79,2022-07-13
34,Frágil,79.83,6.09,1.36,1.02,2022-12-30
35,Perecível,2613.18,2.29,1.21,2.99,2021-03-25
36,Líquido,2945.31,2.14,2.21,0.55,2021-01-17
37,Líquido,7959.48,1.12,1.61,3.03,2022-12-29
38,Líquido,7212.57,9.62,0.5,3.68,2025-04-21
39,Perecível,245.98,11.97,1.92,1.69,2022-10-31
40,Granel,2124.26,4.53,2.14,0.94,2020-07-03
41,Perigoso,9339.09,5.57,1.1,2.07,2021-12-15
42,Perigoso,5639.87,13.41,2.07,3.05,2021-01-23
43,Granel,6506.75,13.61,0.67,0.73,2024-02-03
44,Frágil,7720.46,1.22,0.56,2.76,2020-11-05
45,Perigoso,7104.56,1.96,2.56,3.66,2025-01-26
46,Frágil,9774.37,10.66,2.6,3.79,2023-10-25
47,Granel,6305.78,10.41,2.7,3.47,2020-08-04
48,Perigoso,8006.68,4.44,1.37,1.86,2021-07-11
49,Perigoso,1038.84,2.97,2.24,1.97,2021-09-12
50,Líquido,1165.28,8.51,1.1,2.85,2022-09-25
51,Frágil,8072.87,4.08,2.95,0.77,2020-08-31
52,Perecível,1142.3,2.35,2.17,2.45,2023-03-24
53,Granel,1658.16,11.53,1.19,2.72,2022-05-05
54,Perigoso,9584.02,4.99,2.0,2.57,2023-12-20
55,Sólido,8260.84,6.23,2.07,2.43,2024-08-17
56,Frágil,4042.93,14.35,2.75,1.38,2021-02-22
57,Sólido,9398.43,12.36,0.72,3.87,2024-07-26
58,Perigoso,3746.5,9.36,1.84,1.96,2022-01-29
59,Perecível,4576.31,12.45,1.49,1.28,2023-08-28
60,Perigoso,761.1,8.97,2.39,3.38,2021-05-16
61,Sólido,9763.4,2.73,0.69,2.67,2025-01-23
62,Frágil,3394.75,10.39,2.32,1.56,2023-12-12
63,Sólido,6717.66,9.11,1.55,2.82,2025-03-07
64,Perecível,122.51,5.45,1.2,2.7,2023-03-25
65,Frágil,261.09,11.57,1.14,3.86,2022-06-11
66,Granel,817.51,3.88,1.46,1.69,2025-02-02
67,Líquido,2795.34,5.63,2.39,2.06,2023-08-06
68,Líquido,5583.24,13.34,0.89,3.62,2021-07-26
69,Frágil,4683.22,8.75,2.4,3.65,2024-03-09
70,Perigoso,7889.1,3.85,2.83,2.79,2022-01-09
71,Perigoso,9884.29,3.65,1.79,1.21,2023-08-07
72,Líquido,5458.7,14.52,2.87,2.81,2020-12-19
73,Frágil,8791.73,3.87,2.95,3.61,2022-12-06
74,Frágil,7645.81,2.56,0.83,1.32,2023-11-21
75,Perecível,5188.13,11.96,1.48,1.8,2025-01-25
76,Perigoso,4907.61,3.66,2.79,1.88,2024-12-22
77,Sólido,9915.67,11.19,1.26,1.72,2022-03-05
78,Frágil,2632.04,12.18,1.53,3.35,2021-06-11
79,Líquido,1248.11,4.99,2.04,2.79,2022-03-02
80,Granel,7869.92,4.83,1.77,2.25,2022-12-31
81,Frágil,5955.68,3.89,0.87,1.14,2021-09-05
82,Frágil,7129.74,4.78,1.28,3.95,2021-12-02
83,Sólido,7761.55,0.8,1.92,1.78,2022-06-27
84,Granel,163.44,9.15,2.22,3.89,2025-01-07
85,Sólido,1075.42,13.47,2.08,0.83,2022-03-11
86,Perigoso,9418.3,7.0,2.21,3.96,2025-05-29
87,Sólido,9242.28,6.09,1.66,2.91,2024-03-03
88,Granel,7709.13,6.7,0.81,2.04,2020-12-24
89,Granel,4682.92,14.17,2.34,1.11,2023-05-20
90,Líquido,4391.18,1.19,2.65,1.77,2022-12-21
91,Perecível,4980.67,3.0,1.32,1.26,2021-03-09
92,Sólido,8059.88,6.83,1.42,3.52,2022-12-20
93,Perecível,8611.48,8.29,1.97,2.03,2024-07-23
94,Perecível,8394.34,6.4,2.1,3.55,2023-03-31
95,Granel,7522.52,2.39,1.67,3.79,2023-01-18
96,Perecível,5830.22,5.85,2.31,2.44,2023-11-15
97,Perigoso,3923.0,12.92,0.9,3.54,2021-03-27
98,Granel,72.15,9.56,1.27,3.06,2023-09-12
99,Perecível,2152.98,9.72,2.91,0.74,2024-12-16
100,Perigoso,6414.55,12.43,0.81,0.96,2023-10-19
101,Frágil,6413.34,2.28,1.92,2.07,2024-12-25
102,Granel,4850.12,6.48,1.61,2.18,2024-10-14
103,Sólido,9123.66,2.44,1.64,2.68,2021-12-10
104,Perigoso,6298.16,14.77,2.92,3.46,2020-11-05
105,Frágil,2202.63,6.79,1.46,1.24,2025-03-28
106,Líquido,8984.68,4.19,1.96,0.89,2022-05-06
107,Perecível,2602.0,5.69,1.71,1.28,2024-12-31
108,Líquido,3998.79,12.85,2.95,3.56,2023-11-14
109,Sólido,9778.22,6.62,1.42,3.43,2020-09-14
110,Sólido,7627.81,14.14,1.56,0.9,2022-06-09
111,Líquido,3962.2,3.16,1.36,2.51,2021-12-30
112,Perecível,8668.94,14.54,1.88,2.99,2020-06-21
113,Líquido,9121.31,12.69,1.71,3.59,2023-05-20
114,Granel,8144.17,4.63,2.15,0.62,2025-03-06
115,Perecível,2223.09,1.1,2.98,1.34,2022-04-15
