RotaID,Origem,Destino,Distancia,TempoEstimado,RestricoesTrafego
1,Kerryton,South Dustinville,546.2,05:00:00,Enjoy bill street major customer keep.
2,South Edward,Charlesport,792.19,02:00:00,Grow room save board into claim.
3,West David,Adamsborough,166.53,05:00:00,Always use there hospital report act.
4,West Patrickborough,New Kristenside,185.33,01:00:00,Finish lawyer training because.
5,Michaelmouth,Smithmouth,550.46,01:00:00,Strong whose year may production investment teach.
6,Masonside,Davisside,483.4,03:00:00,Huge gun quickly may former.
7,Chaseton,Glenhaven,567.88,05:00:00,North hold example station natural three dark.
8,Parksberg,Wilsonmouth,146.74,02:00:00,Wait kitchen scientist somebody million adult.
9,West Brandonshire,Mandyside,176.65,02:00:00,Trial activity expert rock.
10,Roberthaven,South Stephanie,268.37,04:00:00,Image important audience hundred authority authority four.
11,Lake Mark,Conniebury,393.98,02:00:00,Nature home yard write become.
12,New Keith,Gallegosport,274.52,01:00:00,Benefit floor morning image deep serious buy.
13,Harrismouth,Joshuaburgh,147.87,03:00:00,Perform collection back around water.
14,Michaelfort,South Rachael,688.94,05:00:00,Say large anything.
15,Reyesview,Chadland,487.54,05:00:00,Finally already us condition agree.
16,Livingstonmouth,East Julieport,312.75,02:00:00,Door upon never true they simply recognize.
17,Kellyfort,Port Jennifermouth,607.95,05:00:00,Outside rate century street make inside author.
18,West Christineville,Port Debra,809.8,05:00:00,Dream build what value.
19,East Brent,Carlosport,224.78,02:00:00,News difference newspaper practice another how enter create.
20,South Stephanie,Matthewborough,765.4,05:00:00,Themselves explain difference activity so great ten operation.
21,North Jameschester,North Gene,708.39,02:00:00,Reflect evening true head.
22,South Martinmouth,Danaburgh,449.73,03:00:00,Yeah tend must and trouble city series.
23,New Barbaraberg,North Edwinborough,126.18,01:00:00,Family contain worker your.
24,Jillshire,Dianaburgh,591.09,04:00:00,Share away wear respond.
25,Jensenburgh,New Kristenland,288.77,03:00:00,Special read once person more.
26,Lake Marcusfort,Johnview,194.15,03:00:00,Officer break window goal mean.
27,Jordanbury,Thomasmouth,532.95,05:00:00,Spring image difference hot defense kitchen police.
28,South Kelly,North Michael,497.11,02:00:00,Simple character reason scene future PM quickly color.
29,Kirbyberg,Mckayport,454.17,04:00:00,Industry opportunity again yourself save the.
30,Orozcostad,East Dustin,502.42,02:00:00,Affect produce international kid.
31,Jacobville,New Lisashire,540.78,02:00:00,Collection star store team laugh finish opportunity.
32,Jerryshire,Jasonland,179.09,05:00:00,Might learn future discussion.
33,Lake Mary,Chasestad,660.78,03:00:00,Movement authority join sound from many.
34,Port Vanessaview,East Maryland,882.15,05:00:00,Strong social at write system we read.
35,New Michael,Josephchester,815.0,01:00:00,Evening newspaper compare.
36,Samuelhaven,Nicholasland,174.08,03:00:00,Finally soldier white key.
37,Stricklandberg,South Jonathanview,901.62,01:00:00,Identify movement body continue certainly discover drop.
38,West Adriana,Stacyton,736.91,03:00:00,Together method money low true decide.
39,Lake Josephberg,Port Brianton,522.34,03:00:00,Explain close seek degree suffer find.
40,Monicastad,West Teresa,434.19,02:00:00,Quite cold economy policy thing everybody.
41,Jacobsport,West Matthewberg,971.73,05:00:00,Blood task stage assume right tough until.
42,South Karen,Lake Dylan,519.7,04:00:00,Anyone find wrong would whatever.
43,Tiffanyside,Kellyborough,686.23,04:00:00,Fear agree stop enter race.
44,Port Kelsey,South Jenniferville,816.76,01:00:00,Top step time soon own film music.
45,East Michael,Huffville,582.43,04:00:00,Discover though carry wide up television entire debate.
46,Port Mariah,South Jennifer,270.66,01:00:00,Too occur reduce remember particularly.
47,Hughesside,New Courtneymouth,447.47,02:00:00,From eight gas once region simple.
48,Lake Abigailmouth,Jonathanview,397.94,01:00:00,Look after soon key.
49,East Karen,Jamesburgh,128.28,03:00:00,Glass back democratic security drop.
50,Lake Adrianview,Kimmouth,945.52,03:00:00,Air phone east hit civil themselves.
51,North Olivialand,South Matthew,986.2,03:00:00,Ten hundred seat draw serious such notice somebody.
52,Lindachester,Davidton,742.16,03:00:00,Experience scientist consumer central relationship one single nothing.
53,Weisshaven,Evanville,744.83,03:00:00,Support clearly different family very figure wall.
54,Loweborough,West Timothyport,885.44,04:00:00,Adult among particular score important.
55,Househaven,New Timothy,863.55,05:00:00,Letter activity his mind.
56,Port Lisa,South Courtneyton,149.98,01:00:00,Of audience ok physical capital street.
57,Alishachester,Turnerberg,385.13,05:00:00,Also matter boy staff scene.
58,South Raymondton,South Michelle,586.9,02:00:00,Suffer policy foot finish.
59,South Andrewstad,North Michael,478.54,05:00:00,Citizen address increase reflect college material.
60,Morganbury,Meghanstad,538.67,05:00:00,Leave let bag network.
61,Port Jasmineberg,West Joseph,529.38,05:00:00,View fire dinner pick.
62,Woodsland,Johnathanview,128.46,04:00:00,Traditional situation assume trouble approach.
63,Gutierrezhaven,Melissaview,713.72,01:00:00,Wrong third indeed land court.
64,Berrybury,Lake Stevenburgh,755.78,01:00:00,Car short our summer blue under war.
65,New Kerrystad,Donnaburgh,545.48,05:00:00,Serve interview its pick early seat find drive.
66,South Paula,Kimberlyshire,952.59,01:00:00,Her marriage career figure.
67,Aliciaton,North Davidfurt,889.46,05:00:00,Fast begin college.
68,Bellberg,West Benjaminshire,213.46,02:00:00,Else get lay successful before research red.
69,Kristinetown,West Laurenville,110.72,02:00:00,Lead establish dog myself.
70,Melaniefurt,West Andrew,569.92,02:00:00,Radio girl care between decide.
71,West Darrenshire,Shepardview,938.27,03:00:00,Friend well may American.
72,Lake Peterbury,Lake Tonyastad,718.8,03:00:00,Prepare would former senior may.
73,Davidburgh,North Jenniferborough,728.62,02:00:00,Travel ball really minute affect.
74,Dianaburgh,Stephenville,132.39,01:00:00,Mission although actually crime table need in.
75,Davidland,East Petershire,733.81,04:00:00,Indicate single reach myself fall.
76,Hessborough,Loganfort,961.44,01:00:00,Various western run team traditional technology.
77,North Brandon,Wilsonland,323.39,03:00:00,Southern candidate paper small until democratic.
78,Veronicafurt,Garyside,952.03,03:00:00,Several consider general discussion religious say support.
79,Parksville,West Wandaburgh,885.76,03:00:00,Worry after bad.
80,New Erica,East Logan,609.12,04:00:00,Blue pull protect visit some.
81,West Heather,Kathyville,635.87,01:00:00,First become matter certainly carry animal participant player.
82,Jessicaborough,Port Christopher,744.4,03:00:00,Morning rule likely work build fact step himself.
83,North Rebecca,West Richardfurt,401.81,04:00:00,However future wrong painting participant describe.
84,West Frederick,South Jonathan,876.9,03:00:00,Require shoulder use against probably.
85,Perryport,Maxwellview,100.67,02:00:00,Region church maintain in officer compare share.
86,Ritahaven,Barbarastad,914.81,01:00:00,Huge street less term.
87,South Jamestown,Lake Mark,238.95,04:00:00,Cover whatever almost to about.
88,Velasquezmouth,South Vanessa,543.55,01:00:00,Kid land ability degree place modern.
89,West Lynn,Williamsmouth,756.77,04:00:00,During describe second.
90,Shawnville,South Charles,504.23,04:00:00,Exactly across party purpose.
91,Acostatown,Port Eric,373.45,03:00:00,Ask side return.
92,South Jeffside,Molinabury,663.89,02:00:00,Present two word thousand sister because firm all.
93,Greentown,Laurahaven,346.59,05:00:00,Amount economy win require positive power.
94,New Stephenview,New John,813.55,02:00:00,Particularly look expect find behind.
95,Williamsberg,Spencerville,893.25,01:00:00,So suffer billion little a.
96,New Tina,New Teresa,375.82,05:00:00,Head national subject common able.
97,West Carla,Morrisside,459.98,02:00:00,Ever response beyond able.
98,Curtisborough,West Juliefurt,392.34,02:00:00,Lose certain actually according allow.
99,New Lisashire,Kevinfort,408.24,02:00:00,Peace south make can.
100,New Amandaside,Bradyborough,296.24,02:00:00,Cost student offer such after.
101,New Kimberly,Frenchton,906.41,01:00:00,Challenge later side while attack amount myself offer.
102,North Benjaminshire,Kimberlyhaven,300.62,02:00:00,Matter message institution young debate impact.
103,West George,Veronicaburgh,225.95,02:00:00,Talk bit fine.
104,Estradafort,Kimberlyhaven,591.41,04:00:00,Summer miss those nothing risk fear class.
105,East Lorraine,East Heather,967.93,02:00:00,Several role remain growth there system offer.
106,Paynefort,Billychester,795.45,03:00:00,Soldier wind different available member.
107,Bowmanborough,Mayfurt,260.18,01:00:00,Strategy upon year least about.
108,Jasminebury,Lake Cameron,799.28,03:00:00,Foreign dinner detail available.
