VeiculoID,TipoVeiculo,CapacidadeCarga,DataAquisicao,EstadoVeiculo,PlacaVeiculo
1,Carro,23.34,2018-01-02,Novo,ENH-5T69
2,Caminhão,18.66,2014-11-11,Usado,EOB-4R45
3,Carro,23.29,2021-02-01,Usado,ONY-4N87
4,Caminhão,21.76,2017-03-24,Manutenção,VFD-0G36
5,Caminhão,8.64,2024-01-17,Manutenção,DGW-5T72
6,Van,26.24,2023-03-17,Manutenção,ZLD-8I18
7,Caminhão,24.27,2023-04-13,Novo,BCS-2E44
8,Carro,9.35,2022-10-27,Manutenção,HSK-8G52
9,Caminhão,18.99,2014-08-27,Novo,VKA-3G40
10,Carro,28.99,2024-04-10,Usado,UIW-0U42
11,Caminhonete,10.29,2020-04-02,Usado,KWO-3Z90
12,Carro,23.77,2020-06-01,Novo,BLT-7J08
13,Van,18.38,2016-07-18,Usado,JOX-6U85
14,Van,5.41,2019-08-17,Novo,OSV-0T26
15,Caminhonete,13.21,2017-04-17,Usado,VWD-6V71
16,Van,11.62,2016-03-15,Manutenção,CZP-8P08
17,Van,23.72,2021-10-25,Novo,FTS-0Q12
18,Caminhonete,16.98,2022-04-19,Usado,LDT-3B52
19,Caminhão,29.5,2019-05-30,Usado,FRR-2U35
20,Caminhão,20.13,2020-02-28,Manutenção,TFC-6N65
21,Carro,27.05,2018-09-17,Manutenção,MBZ-7U32
22,Van,16.86,2017-08-30,Novo,WKF-9E01
23,Caminhão,14.28,2023-12-19,Novo,HJA-0D59
24,Carreta,11.13,2018-06-21,Novo,GUQ-1G92
25,Caminhão,3.83,2023-06-04,Novo,RCU-2N46
26,Caminhão,3.08,2023-09-12,Manutenção,UFQ-2G47
27,Carro,19.53,2022-01-21,Usado,VIY-7V18
28,Caminhonete,19.9,2016-01-07,Usado,YAF-4O18
29,Carro,21.85,2018-03-25,Usado,GYC-6O39
30,Van,9.77,2015-04-12,Usado,IXV-3R68
31,Carreta,6.72,2021-07-06,Novo,UKS-9L52
32,Carro,19.39,2022-06-20,Usado,YYI-5T99
33,Van,11.2,2018-12-07,Novo,VLY-2A59
34,Caminhonete,20.2,2014-10-21,Manutenção,FEA-8G17
35,Carro,29.47,2021-06-30,Manutenção,WLS-9R24
36,Caminhonete,9.43,2022-11-03,Usado,EWW-8H62
37,Caminhão,20.78,2020-02-24,Novo,UND-9X94
38,Carro,11.5,2020-05-31,Novo,LCJ-0M28
39,Caminhão,15.8,2016-10-21,Novo,KSL-6P17
40,Van,10.66,2024-04-02,Usado,MWM-0W82
41,Carro,4.59,2015-05-19,Manutenção,LKR-5A09
42,Carro,4.87,2018-04-29,Novo,RIB-4M45
43,Carro,15.52,2021-03-30,Usado,PLI-5L26
44,Carro,11.65,2017-12-03,Novo,HTC-7F89
45,Carro,9.63,2019-02-01,Novo,UXN-8P29
46,Carro,19.4,2018-02-19,Usado,FHV-4R98
47,Carreta,21.63,2018-02-20,Usado,LVV-3O41
48,Van,11.18,2022-06-24,Manutenção,GNF-1W26
49,Caminhão,3.76,2020-01-29,Manutenção,YXH-6T16
50,Caminhão,6.56,2023-07-01,Novo,RIH-5J56
51,Van,28.46,2020-02-27,Novo,NLM-1K18
52,Carreta,5.27,2017-11-06,Novo,QBX-4G07
53,Carreta,12.34,2018-11-25,Novo,LSB-8C04
54,Van,4.09,2017-04-02,Manutenção,SZZ-3H85
55,Caminhonete,29.68,2017-09-19,Manutenção,RDF-1H60
56,Caminhão,5.47,2023-12-05,Manutenção,EIQ-8W74
57,Carro,13.48,2021-05-09,Usado,UFF-9B09
58,Van,11.13,2020-04-13,Manutenção,BEC-0O67
59,Carreta,25.83,2018-08-26,Novo,IDD-2F32
60,Caminhonete,5.08,2015-10-29,Novo,FAR-7J40
61,Carro,27.68,2021-05-30,Novo,OCB-8P95
62,Caminhonete,19.65,2019-05-30,Novo,PXI-5K19
63,Carro,16.64,2016-08-24,Usado,EAA-9F49
64,Caminhonete,6.31,2020-12-23,Usado,WJU-7D75
65,Caminhonete,1.86,2014-06-23,Novo,HXG-2K38
66,Carreta,11.09,2019-03-12,Usado,AFS-7X39
67,Caminhonete,14.26,2023-07-21,Manutenção,NAK-2V97
68,Caminhonete,11.67,2020-12-25,Novo,BOA-7T03
69,Carro,22.49,2022-02-13,Novo,LIN-3A49
70,Van,22.94,2021-02-06,Manutenção,ZOZ-0V22
71,Caminhonete,24.31,2017-02-01,Novo,OMI-3A60
72,Caminhonete,10.27,2019-10-06,Novo,VYJ-4B32
73,Caminhonete,28.73,2015-01-17,Usado,QZX-3E74
74,Caminhonete,22.1,2017-03-06,Manutenção,VVH-3K24
75,Caminhão,11.76,2016-06-29,Manutenção,FHO-8H02
76,Caminhonete,27.4,2015-12-06,Manutenção,ZEI-5H67
77,Van,8.1,2020-03-18,Usado,YJE-6X19
78,Van,13.46,2014-06-28,Novo,KSS-2N91
79,Van,13.84,2019-11-21,Usado,FMD-1K67
80,Caminhão,5.1,2014-10-13,Novo,ZJB-9G33
81,Caminhão,9.14,2015-09-27,Novo,RCF-4J90
82,Carreta,16.56,2014-12-16,Manutenção,MQA-6M15
83,Carro,17.94,2019-12-24,Usado,RPA-5U84
84,Caminhão,11.35,2016-07-31,Novo,OJC-8Z82
85,Caminhonete,17.65,2015-05-31,Usado,YTE-0I02
86,Carreta,26.23,2019-08-16,Manutenção,GXU-0W40
87,Carreta,2.62,2019-12-03,Novo,LOM-5H26
